Packet Number	Timestamp	Relative Time	Packet Size	Payload Length	Source IP	Source Port	Destination IP	Destination Port	IP Protocol	TCP Flags	TTL	Src Checksum	Dst Checksum	Validity
1	May 26 2024 20:56:15.000000 IST	1716737175	60	16	34.107.221.82	80	10.0.2.15	60176	6	0x1200	64	0xCF62	0xCF62	valid
2	May 26 2024 20:56:15.000000 IST	1716737175	60	20	34.107.221.82	80	10.0.2.15	60176	6	0x1000	64	0xE5F2	0xE5F2	valid
3	May 26 2024 20:56:15.000000 IST	1716737175	352	312	34.107.221.82	80	10.0.2.15	60176	6	0x1800	64	0xF70F	0xF70F	valid
4	May 26 2024 20:56:15.000000 IST	1716737175	60	16	34.107.221.82	80	10.0.2.15	60190	6	0x1200	64	0xF600	0xF600	valid
5	May 26 2024 20:56:15.000000 IST	1716737175	60	20	34.107.221.82	80	10.0.2.15	60190	6	0x1000	64	0x0C80	0x0C80	valid
6	May 26 2024 20:56:15.000000 IST	1716737175	270	230	34.107.221.82	80	10.0.2.15	60190	6	0x1800	64	0xAA36	0xAA36	valid
7	May 26 2024 20:56:15.000000 IST	1716737175	60	16	34.149.100.209	443	10.0.2.15	56776	6	0x1200	64	0xDA3B	0xDA3B	valid
8	May 26 2024 20:56:15.000000 IST	1716737175	60	20	34.149.100.209	443	10.0.2.15	56776	6	0x1000	64	0xEF4B	0xEF4B	valid
9	May 26 2024 20:56:15.000000 IST	1716737175	2878	2838	34.149.100.209	443	10.0.2.15	56776	6	0x1800	64	0x9E97	0x2346	invalid
10	May 26 2024 20:56:15.000000 IST	1716737175	400	360	34.149.100.209	443	10.0.2.15	56776	6	0x1800	64	0x8852	0x8852	valid
11	May 26 2024 20:56:15.000000 IST	1716737175	60	20	34.149.100.209	443	10.0.2.15	56776	6	0x1000	64	0xE2E8	0xE2E8	valid
12	May 26 2024 20:56:15.000000 IST	1716737175	60	20	34.149.100.209	443	10.0.2.15	56776	6	0x1100	64	0xE2E7	0xE2E7	valid
