Relative Time,Frame Length,Packet Size,Source IP,Source Port,Destination IP,Destination Port,IP Protocol,TTL,TCP Flags,Classification
1714758330.000000,60,60,34.107.221.82,80,10.0.2.15,60850,6,64,0x1000,Benign
1714758330.000000,60,60,34.107.221.82,80,10.0.2.15,60858,6,64,0x1000,Benign
1714758330.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
1714758330.000000,93,93,34.120.237.76,443,10.0.2.15,43302,6,64,0x1800,Benign
1714758331.000000,60,60,34.120.208.123,443,10.0.2.15,35250,6,64,0x1000,Benign
1714758331.000000,60,60,34.120.208.123,443,10.0.2.15,35250,6,64,0x1000,Benign
1714758331.000000,175,175,34.120.208.123,443,10.0.2.15,35250,6,64,0x1800,Benign
1714758331.000000,365,365,34.120.208.123,443,10.0.2.15,35250,6,64,0x1800,Benign
1714758331.000000,60,60,34.120.208.123,443,10.0.2.15,35250,6,64,0x1000,Benign
1714758333.000000,60,60,34.120.208.123,443,10.0.2.15,35250,6,64,0x1000,Benign
1714758333.000000,60,60,34.120.208.123,443,10.0.2.15,35250,6,64,0x1000,Benign
1714758333.000000,122,122,34.120.208.123,443,10.0.2.15,35250,6,64,0x1800,Benign
1714758333.000000,325,325,34.120.208.123,443,10.0.2.15,35250,6,64,0x1800,Benign
1714758333.000000,60,60,34.120.208.123,443,10.0.2.15,35250,6,64,0x1000,Benign
1714758335.000000,60,60,34.120.208.123,443,10.0.2.15,35250,6,64,0x1000,Benign
1714758335.000000,60,60,34.120.208.123,443,10.0.2.15,35250,6,64,0x1000,Benign
1714758335.000000,293,293,34.120.208.123,443,10.0.2.15,35250,6,64,0x1800,Benign
1714758335.000000,310,310,34.120.208.123,443,10.0.2.15,35250,6,64,0x1800,Benign
1714758335.000000,60,60,34.120.208.123,443,10.0.2.15,35250,6,64,0x1000,Benign
1714758335.000000,60,60,34.120.237.76,443,10.0.2.15,43302,6,64,0x1000,Benign
